Summary Level,State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
050,29,001,Adair County
050,29,003,Andrew County
050,29,005,Atchison County
050,29,007,Audrain County
050,29,009,Barry County
050,29,011,Barton County
050,29,013,Bates County
050,29,015,Benton County
050,29,017,Bollinger County
050,29,019,Boone County
050,29,021,Buchanan County
050,29,023,Butler County
050,29,025,Caldwell County
050,29,027,Callaway County
050,29,029,Camden County
050,29,031,Cape Girardeau County
050,29,033,Carroll County
050,29,035,Carter County
050,29,037,Cass County
050,29,039,Cedar County
050,29,041,Chariton County
050,29,043,Christian County
050,29,045,Clark County
050,29,047,Clay County
050,29,049,Clinton County
050,29,051,Cole County
050,29,053,Cooper County
050,29,055,Crawford County
050,29,057,Dade County
050,29,059,Dallas County
050,29,061,Daviess County
050,29,063,DeKalb County
050,29,065,Dent County
050,29,067,Douglas County
050,29,069,Dunklin County
050,29,071,Franklin County
050,29,073,Gasconade County
050,29,075,Gentry County
050,29,077,Greene County
050,29,079,Grundy County
050,29,081,Harrison County
050,29,083,Henry County
050,29,085,Hickory County
050,29,087,Holt County
050,29,089,Howard County
050,29,091,Howell County
050,29,093,Iron County
050,29,095,Jackson County
050,29,097,Jasper County
050,29,099,Jefferson County
050,29,101,Johnson County
050,29,103,Knox County
050,29,105,Laclede County
050,29,107,Lafayette County
050,29,109,Lawrence County
050,29,111,Lewis County
050,29,113,Lincoln County
050,29,115,Linn County
050,29,117,Livingston County
050,29,119,McDonald County
050,29,121,Macon County
050,29,123,Madison County
050,29,125,Maries County
050,29,127,Marion County
050,29,129,Mercer County
050,29,131,Miller County
050,29,133,Mississippi County
050,29,135,Moniteau County
050,29,137,Monroe County
050,29,139,Montgomery County
050,29,141,Morgan County
050,29,143,New Madrid County
050,29,145,Newton County
050,29,147,Nodaway County
050,29,149,Oregon County
050,29,151,Osage County
050,29,153,Ozark County
050,29,155,Pemiscot County
050,29,157,Perry County
050,29,159,Pettis County
050,29,161,Phelps County
050,29,163,Pike County
050,29,165,Platte County
050,29,167,Polk County
050,29,169,Pulaski County
050,29,171,Putnam County
050,29,173,Ralls County
050,29,175,Randolph County
050,29,177,Ray County
050,29,179,Reynolds County
050,29,181,Ripley County
050,29,183,St. Charles County
050,29,185,St. Clair County
050,29,186,Ste. Genevieve County
050,29,187,St. Francois County
050,29,189,St. Louis County
050,29,195,Saline County
050,29,197,Schuyler County
050,29,199,Scotland County
050,29,201,Scott County
050,29,203,Shannon County
050,29,205,Shelby County
050,29,207,Stoddard County
050,29,209,Stone County
050,29,211,Sullivan County
050,29,213,Taney County
050,29,215,Texas County
050,29,217,Vernon County
050,29,219,Warren County
050,29,221,Washington County
050,29,223,Wayne County
050,29,225,Webster County
050,29,227,Worth County
050,29,229,Wright County
050,29,510,City of St. Louis County